City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Birao,CF,2020-08-27 16:43:35,10.28,22.79,76.73,90,83,2.75
118,Souillac,MU,2020-08-27 16:43:35,-20.52,57.52,71.6,83,40,12.75
119,Calpulalpan,MX,2020-08-27 16:43:36,19.58,-98.58,68.0,100,90,3.36
120,Sao Miguel Do Iguacu,BR,2020-08-27 16:40:10,-25.35,-54.24,87.8,25,0,18.34
121,West Bay,KY,2020-08-27 16:43:36,19.37,-81.42,89.01,89,20,9.17
122,Cap Malheureux,MU,2020-08-27 16:43:36,-19.98,57.61,71.01,76,3,5.99
123,Tianpeng,CN,2020-08-27 16:43:36,30.99,103.94,84.2,66,86,2.24
124,Ler,SS,2020-08-27 16:43:36,8.3,30.14,76.87,83,69,3.18
125,Pisco,PE,2020-08-27 16:43:36,-13.7,-76.22,66.0,77,20,9.17
126,Leningradskiy,RU,2020-08-27 16:43:37,69.38,178.42,37.9,93,96,4.92
127,Ancud,CL,2020-08-27 16:43:37,-41.87,-73.82,48.99,81,40,16.11
128,Lompoc,US,2020-08-27 16:43:37,34.64,-120.46,57.2,93,90,6.93
129,Necochea,AR,2020-08-27 16:42:23,-38.55,-58.74,64.0,53,0,8.01
130,Port Elizabeth,ZA,2020-08-27 16:43:37,-33.92,25.57,60.8,77,0,6.93
131,Aksarka,RU,2020-08-27 16:43:37,66.56,67.8,56.86,81,42,6.96
132,Baijiantan,CN,2020-08-27 16:43:37,45.63,85.18,67.98,47,100,10.56
133,Tazovskiy,RU,2020-08-27 16:43:38,67.47,78.7,52.36,84,0,9.04
134,Dikson,RU,2020-08-27 16:43:38,73.51,80.55,48.45,85,54,10.98
135,Kannangad,IN,2020-08-27 16:43:38,12.31,75.11,78.8,88,20,2.24
136,Do Gonbadan,IR,2020-08-27 16:43:38,30.36,50.8,93.2,24,0,3.36
137,Yumen,CN,2020-08-27 16:43:38,40.28,97.2,62.19,27,17,13.49
138,Storforshei,NO,2020-08-27 16:43:39,66.4,14.52,55.4,54,40,6.93
139,Daru,PG,2020-08-27 16:43:39,-9.08,143.21,76.82,85,100,18.59
140,Bolshaya Rechka,RU,2020-08-27 16:43:39,51.95,104.74,55.4,100,90,15.66
141,Turukhansk,RU,2020-08-27 16:43:40,65.82,87.98,55.22,82,100,7.85
142,Nanortalik,GL,2020-08-27 16:43:40,60.14,-45.24,49.24,69,98,10.11
143,Gejiu,CN,2020-08-27 16:43:40,23.31,103.16,60.93,98,0,1.28
144,Minas Novas,BR,2020-08-27 16:43:40,-17.22,-42.59,84.76,31,4,8.08
145,Bongor,TD,2020-08-27 16:43:40,10.28,15.37,80.96,77,79,3.04
146,Touros,BR,2020-08-27 16:43:40,-5.2,-35.46,82.4,61,75,17.22
147,Lebu,CL,2020-08-27 16:43:40,-37.62,-73.65,52.12,79,99,10.54
148,Dharchula,IN,2020-08-27 16:43:41,29.85,80.53,70.83,74,91,1.54
149,Boyle,US,2020-08-27 16:43:41,37.63,-84.87,86.0,62,1,6.93
150,Tuktoyaktuk,CA,2020-08-27 16:43:41,69.45,-133.04,41.0,75,90,10.29
151,Las Tunas,CU,2020-08-27 16:43:41,20.96,-76.95,89.6,62,40,10.29
152,East London,ZA,2020-08-27 16:43:41,-33.02,27.91,64.4,72,0,14.99
153,Isangel,VU,2020-08-27 16:43:41,-19.55,169.27,71.64,85,100,17.98
154,Kanniyakumari,IN,2020-08-27 16:43:41,8.08,77.57,80.6,77,41,19.35
155,Nyurba,RU,2020-08-27 16:43:41,63.28,118.33,44.56,59,3,2.35
156,Nicoya,CR,2020-08-27 16:42:43,10.15,-85.45,80.6,83,75,5.82
157,Azanka,RU,2020-08-27 16:43:42,58.04,64.79,58.77,92,41,6.15
158,Myitkyina,MM,2020-08-27 16:43:42,25.38,97.4,75.72,94,29,0.49
159,Gillette,US,2020-08-27 16:43:42,44.29,-105.5,73.99,49,1,5.82
160,Bhainsdehi,IN,2020-08-27 16:43:42,21.65,77.63,70.7,97,100,9.62
161,Yellowknife,CA,2020-08-27 16:40:31,62.46,-114.35,55.4,87,75,13.87
162,Arraial Do Cabo,BR,2020-08-27 16:43:42,-22.97,-42.03,75.2,83,40,8.05
163,Coihaique,CL,2020-08-27 16:43:42,-45.58,-72.07,41.0,80,90,8.05
164,Emerald,AU,2020-08-27 16:43:43,-23.53,148.17,53.6,76,0,6.02
165,Tikapur,NP,2020-08-27 16:43:43,28.5,81.13,79.65,87,82,4.32
166,Lakes Entrance,AU,2020-08-27 16:43:43,-37.88,147.98,46.99,80,6,3.0
167,Kailua,US,2020-08-27 16:42:01,21.4,-157.74,78.8,65,20,9.17
168,Xichang,CN,2020-08-27 16:43:43,27.9,102.26,67.87,75,98,1.19
169,Yulara,AU,2020-08-27 16:43:43,-25.24,130.99,68.0,22,0,10.29
170,Saldanha,ZA,2020-08-27 16:43:43,-33.01,17.94,59.0,72,73,10.29
171,Carballo,ES,2020-08-27 16:43:44,43.21,-8.69,78.8,65,75,4.7
172,Fortuna,US,2020-08-27 16:43:44,40.6,-124.16,59.0,93,90,4.7
173,Juarez,MX,2020-08-27 16:42:14,31.73,-106.48,89.01,26,5,8.37
174,Bethel,US,2020-08-27 16:43:44,41.37,-73.41,80.01,69,1,13.87
175,Rostovka,RU,2020-08-27 16:43:44,55.38,71.89,56.25,84,57,4.03
176,Norman Wells,CA,2020-08-27 16:43:44,65.28,-126.83,50.0,100,75,2.24
177,Bivolari,RO,2020-08-27 16:43:44,47.53,27.43,79.0,46,46,4.0
178,Chara,RU,2020-08-27 16:43:45,56.91,118.26,45.43,66,0,1.1
179,Obo,CF,2020-08-27 16:43:45,5.4,26.49,73.33,87,92,1.99
