City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
547,Mahibadhoo,MV,83.79,scattered clouds,3.78,72.97,Omadhoo Inn
548,Nantucket,US,75.2,clear sky,41.28,-70.1,Jared Coffin House
550,Remedios,CU,89.6,broken clouds,22.49,-79.55,Hostal Yunai
551,Novovasylivka,UA,74.82,clear sky,46.83,35.75,
553,Hermosillo,MX,87.8,broken clouds,29.07,-110.97,Hotel San Andrés
555,Washington,US,70.0,clear sky,47.5,-120.5,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
559,Yenagoa,NG,75.99,light rain,4.92,6.26,Amba Hotels Limited
560,Bud,US,77.0,overcast clouds,39.45,-86.18,Madsion Scouts Camp
561,Sambava,MG,72.73,scattered clouds,-14.27,50.17,Melrose
562,Miravci,MK,75.99,clear sky,41.31,22.43,Rock Village
563,Kutoarjo,ID,72.82,overcast clouds,-7.72,109.91,Massagus Hotel
564,Tecoman,MX,75.2,drizzle,18.92,-103.88,Hotel Gran Fenix
565,San Javier,ES,77.0,few clouds,37.81,-0.84,Hotel Mar Menor
567,Ninghai,CN,84.0,few clouds,29.29,121.42,Kaiyuan New Century Hotel
568,Chingola,ZM,71.1,clear sky,-12.53,27.88,Protea Hotel by Marriott Chingola
569,Mogadishu,SO,78.15,broken clouds,2.04,45.34,Hotel Juba
570,Oum Hadjer,TD,76.44,moderate rain,13.3,19.7,
571,Harper,LR,76.39,overcast clouds,4.38,-7.72,Screensaver
574,Khowai,IN,77.68,overcast clouds,24.1,91.63,Bachai bari townhall
575,Faanui,PF,76.51,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
576,Sapele,NG,76.17,overcast clouds,5.89,5.68,Movig Hotel & Suites
582,Tieling,CN,73.0,overcast clouds,42.29,123.84,Tieling 99 Yuejia Business Guest House
583,Maceio,BR,82.4,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
584,Aqtobe,KZ,75.2,scattered clouds,50.28,57.21,"Gostinitsa ""Ilek"""
585,Kourou,GF,89.6,scattered clouds,5.16,-52.65,Lodge Takini 4
590,Hami,CN,71.31,clear sky,42.8,93.45,Laoyutang Resort
594,Porto Novo,BJ,77.47,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
596,Shakawe,BW,71.2,clear sky,-18.37,21.85,Ditlhapi Guest House
597,Axim,GH,76.21,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
598,West Bay,KY,89.6,few clouds,19.37,-81.42,Calypso Cove
601,Anloga,GH,76.28,overcast clouds,5.79,0.9,Dey Lodge
605,Palora,EC,80.6,scattered clouds,-1.7,-77.93,Rancho grande
606,Lagos,NG,77.0,overcast clouds,6.58,3.75,
608,Nador,MA,78.8,scattered clouds,35.17,-2.93,Hôtel La Giralda
609,Vila Do Maio,CV,84.2,broken clouds,15.13,-23.22,Residence 'I Delfini'
614,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
616,Selma,US,84.0,clear sky,36.57,-119.61,Holiday Inn Selma-Swancourt
618,Inhambane,MZ,72.27,broken clouds,-23.86,35.38,Oceano
619,Salinopolis,BR,84.81,light rain,-0.61,-47.36,Hotel Salinópolis
621,Asfi,MA,75.45,clear sky,32.3,-9.24,Hôtel Abda
624,Pindi Gheb,PK,80.6,scattered clouds,33.24,72.27,Waqas Ali Home
625,Dhankuta,NP,71.29,overcast clouds,26.98,87.33,Gimi Girl Udhyog
628,Cabedelo,BR,84.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
634,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
635,Luanda,AO,71.6,few clouds,-8.84,13.23,EPIC SANA Luanda
